field,value,special_chars,manythings_abbr,gt_abbr
username,User,,,
language,Arabic,,ara,ar
language,Bengali,,ben,bn
language,Czech,"á,č,ď,é,ě,í,ň,ó,ř,š,ť,ú,ů,ý,ž",ces,cs
language,Danish,"æ,ø,å",dan,da
language,Dutch,"é",nld,nl
language,Farsi,,pes,fa
language,Finnish,"å,ä,ö",fin,fi
language,French,"à,â,ç,é,è,ê,ë,î,ï,ô,ù,û,ü,œ,æ",fra,fr
language,German,"ä,ö,ü,ß",deu,de
language,Greek,,ell,el
language,Hindi,,hin,hi
language,Hungarian,"á,é,í,ó,ú,ö,ő,ü,ű",hun,hu
language,Indonesian,,ind,id
language,Italian,"à,é,è,ì,ò,ù",ita,it
language,Japanese,,jpn,ja
language,Korean,,kor,ko
language,Mandarin,,cmn,zh
language,Norwegian,"å,æ,ø",nob,no
language,Portuguese,"á,â,ã,à,ç,é,ê,í,ó,ô,õ,ú",por,pt
language,Romanian,"ă,â,î,ș,ț",ron,ro
language,Russian,,rus,ru
language,Swahili,,swk,sw
language,Swedish,"å,ä,ö",swe,sv
language,Spanish,"á,é,í,ñ,ó,ú,ý",spa,es
language,Turkish,"ç,ğ,ö,ş,ü",tur,tr
language,Vietnamese,,vie,vi
